Graph;n_nodes;n_edges;diameter ;init_obj;budget ;final_obj;callback_time;run_time;type
SmallWorld;233;994;4;95,2%;0.1n;6,27%;55,42;170,52;DCNDP1
SmallWorld;233;994;4;95,2%;0.05n;17,13%;31,1;69,2;DCNDP1
SmallWorld;233;994;4;95,2%;0.03n;23,41%;1,75;6,9;DCNDP1
SmallWorld;233;994;4;95,2%;0.01n;48,69%;4,35;20,06;DCNDP1
SmallWorld;233;994;4;95,2%;0.07n;11,63%;50,73;100,62;DCNDP1
SmallWorld;233;994;4;95,2%;0.1n;4,02%;12,67;433,98;DCNDP2
SmallWorld;233;994;4;95,2%;0.05n;9,28%;13,56;194,32;DCNDP2
SmallWorld;233;994;4;95,2%;0.03n;12,59%;1,62;15,01;DCNDP2
SmallWorld;233;994;4;95,2%;0.01n;28,55%;5,92;131,06;DCNDP2
SmallWorld;233;994;4;95,2%;0.07n;6,87%;18,51;333,04;DCNDP2
LindenStrasse;232;303;13;12,1;0,1n;1,60%;0,74;1,38;DCNDP1
LindenStrasse;232;303;13;12,1;0,08n;2,27%;0,94;1,60;DCNDP1
LindenStrasse;232;303;13;12,1;0,2n;0,37%;2,4;2,81;DCNDP1
LindenStrasse;232;303;13;12,1;0,1n;1,14%;8,11;39,94;DCNDP2
LindenStrasse;232;303;13;12,1;0,08n;1,74%;9,12;117,4;DCNDP2
LindenStrasse;232;303;13;12,1;0,2n;0,39%;9,09;19,39;DCNDP2
UsaAir97;332;2126;6;84,4%;0,01n;63,90%;22,45;193,4;DCNDP1
UsaAir97;332;2126;6;84,4%;0,001n;84,76%;4,96;5,45;DCNDP1
UsaAir97;332;2126;6;84,4%;0,09n;7,63%;144,62;737,83;DCNDP1
UsaAir97;332;2126;6;84,4%;0,01n;30,13%;20,35;683,93;DCNDP2
UsaAir97;332;2126;6;84,4%;0,001n;40,59;2,1;3,78;DCNDP2
UsaAir97;332;2126;6;84,4%;0,09n;14,72%;31,12;8090,1;DCNDP2