Graph;n_nodes;n_edges;diameter ;init_obj;budget ;final_obj_DCNP1;callback_time_1 (s);DCNP_1_t (s);final_obj_DCNP2;callback_time_2 (s);DCNP_2_t_(s)
SmallWorld;233;994;4;95,2%;0.1n;6,27%;55,42;170,52;4,02;19,37;699,2
;;;;;0.05n;17,13%;31,1;69,2;9,28%;13,56;194,32
;;;;;0.03n;23,41%;1,75;6,9;12,59%;1,62;15,01
;;;;;0.01n;48,69%;4,35;20,06;28,55%;5,92;131,06
;;;;;0.07n;11,63%;50,73;100,62;6,87%;18,51;333,04
LindenStrasse;232;303;13;12,1;0,1n;1,60%;0,74;1,38;1,14%;8,11;39,94
;;;;;0,08n;2,27%;0,94;1,60;1,74%;9,12;117,4
;;;;;0,2n;0,37%;2,4;2,81;0,39%;9,09;19,39
UsaAir97;332;2126;6;84,4%;0,01n;63,90%;22,45;193,4;30,13%;20,35;683,93
;;;;;0,001n;84,76%;4,96;5,45;40,59;2,1;3,78
;;;;;0,09n;7,63%;144,62;737,83;14,72%;31,12;8090,1